tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dogtionary,client,favorite_count,retweet_count,new_name,jpg_url,confidence,group,is_dog,breed
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,Twitter for iPhone,37786,8236,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.0970486,p1,False,orange
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,Twitter for iPhone,37786,8236,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.08585110000000001,p2,False,bagel
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,Twitter for iPhone,37786,8236,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.07611,p3,False,banana
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,Twitter for iPhone,32465,6087,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.323581,p1,True,Chihuahua
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,Twitter for iPhone,32465,6087,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.0906465,p2,True,Pekinese
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,Twitter for iPhone,32465,6087,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.0689569,p3,True,papillon
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,Twitter for iPhone,24439,4028,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012,p1,True,Chihuahua
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,Twitter for iPhone,24439,4028,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.078253,p2,True,malamute
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,Twitter for iPhone,24439,4028,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.0313789,p3,True,kelpie
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,Twitter for iPhone,41115,8393,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.17027799999999998,p1,False,paper_towel
